id,first name,last name,country,birthday
86,Cristine,Aloise,Czech Republic,1990-10-12
87,Carilyn,Goerke,Bosnia and Herzegovina,1984-11-16
88,Paule,Berard,Saint Helena,1975-03-20
89,Carlie,Nedrud,Hong Kong,1967-12-25
90,Annecorinne,Laverne,Belarus,2005-07-10
91,Mamie,Sholley,French Guiana,1977-01-25
92,Lorie,Sheedy,Maldives,2001-04-04
93,Kore,Karl,Gibraltar,1969-06-24
94,Lisette,Ochs,Faroe Islands,1986-11-11
95,Marnia,Sundin,Turks and Caicos Islands,1959-11-01
96,Cyb,Yorick,Fiji,1952-08-18
97,Tybie,Percy,Holy See (Vatican City State),2007-03-27
98,Oona,Joeann,Dominican Republic,1994-11-23
99,Ada,Lindemann,Tunisia,1970-11-20
100,Leanna,Teddman,Viet Nam,2001-05-16
101,Lauryn,Saint,"Tanzania, United Republic of",1970-10-29
102,Roslyn,McNully,Haiti,1972-10-03
103,Zondra,Voletta,Cuba,1981-02-22
104,Kara-Lynn,Daegal,Trinidad and Tobago,1991-07-10
105,Belinda,Billye,Hong Kong,1957-11-11
106,Monika,Dyche,Monaco,1960-06-04
107,Jaclyn,Maurine,Maldives,1999-06-05
108,Alex,Leary,Kazakhstan,2005-03-23
109,Grier,Pozzy,Switzerland,1958-05-16
110,Minne,Minetta,Morocco,1961-08-23
111,Ingrid,Roche,Denmark,2004-02-15
112,Selma,Vanni,Ecuador,1979-12-07
113,Concettina,Dawkins,Egypt,1964-12-07
114,Emma,Sibyls,Mexico,2007-08-28
115,Daune,Gaynor,Cocos (Keeling) Islands,1958-02-13
116,Aaren,Iiette,Bulgaria,1976-04-30
117,Rhoda,Lasley,Myanmar,1999-11-10
118,Sadie,Lail,Gambia,1960-02-27
119,Fawne,Felecia,Cook Islands,1967-12-31
120,Tani,Riordan,Eritrea,1970-01-17
121,Drucie,Atcliffe,Austria,1992-06-17
122,Dotty,Parsaye,Myanmar,1985-12-18
123,Starla,Buttaro,Costa Rica,1991-08-16
124,Cecile,Monk,Spain,1992-06-16
125,Carree,Si,Qatar,1997-06-30
126,Lynde,Center,Kiribati,1997-05-31
127,Lilith,Gaulin,Seychelles,1952-10-22
128,Theodora,Noman,Sao Tome and Principe,1977-02-11
129,Livvyy,Hazlett,Northern Mariana Islands,1995-01-21
130,Tilly,Grayce,Falkland Islands (Malvinas),1998-04-13
131,Michaelina,Seligman,Philippines,2002-09-14
132,Lolita,Sidonius,Azerbaijan,1950-09-10
133,Joy,Jaylene,France,1973-08-16
134,Clo,Joeann,Tonga,1951-12-04
135,Ernesta,Rubie,Faroe Islands,1993-06-12
136,Jere,Irmine,Venezuela,1951-01-29
137,Thalia,Old,Trinidad and Tobago,1954-11-28
138,Jenda,Margarete,South Georgia and the South Sandwich Islands,1971-01-27
139,Ebonee,Mullane,Croatia,2002-01-05
140,Wileen,Astra,Antigua and Barbuda,2009-01-04
141,Jenda,Shuler,New Zealand,1985-12-09
142,Morganica,Nelsen,Uganda,1972-01-02
143,Sheelagh,Kiyoshi,Liechtenstein,1957-04-30
144,Winny,Whiffen,Jamaica,1975-03-07
145,Starla,O'Neill,Guatemala,2008-06-19
146,Paule,Saunderson,Aruba,1958-02-05
147,Aubrie,Merna,Uganda,1963-12-30
148,Stevana,Dom,Dominica,1987-06-12
149,Caritta,Lacombe,Niue,1953-10-01
150,Dulcinea,Jammal,French Guiana,1972-06-11
151,Jany,Jerald,Kiribati,1974-10-20
152,Lusa,Morgun,Japan,2002-03-22
153,Maryellen,Carlson,Greenland,1990-07-22
154,Beth,Goode,Tonga,2008-04-16
155,Clo,Iaverne,Cameroon,1980-08-17
156,Judy,Shirberg,Falkland Islands (Malvinas),1990-05-23
157,Deloria,Mintz,Italy,1982-09-04
158,Minne,Therine,Viet Nam,1979-12-24
159,Jordan,Kronfeld,Sierra Leone,1970-05-14
160,Gusella,Roscoe,Mali,1966-03-21
161,Kore,Gwenore,Belgium,1970-06-24
162,Imojean,Klotz,Yemen,1962-10-29
163,Linzy,Peonir,Anguilla,1955-06-14
164,Karina,Shaver,Timor-Leste,1951-06-20
165,Perry,Stuart,Chile,1985-02-14
166,Britni,Franza,"Tanzania, United Republic of",1979-06-28
167,Lanae,Joli,Comoros,1978-04-21
168,Kittie,Hamil,Czech Republic,1976-10-15
169,Aubrie,McCutcheon,Luxembourg,1989-03-23
170,Minne,Rhu,Netherlands,1951-06-04
171,Lexine,Waite,Norway,1979-10-04
172,Genevra,Barney,Netherlands Antilles,1998-06-13
173,Harrietta,Bultman,Papua New Guinea,1961-02-19
174,Ericka,Joachim,Eritrea,2005-04-30
175,Christy,Melleta,Tajikistan,1987-06-01
176,Lelah,Uird,Saint Helena,1954-07-29
177,Agnese,Konyn,Turks and Caicos Islands,2009-11-08
178,Cindelyn,Talia,Saint Kitts and Nevis,1988-05-10
179,Magdalena,Ammann,Uganda,2005-08-23
180,Lolita,Federica,Iceland,1987-12-05
181,Tobe,Lail,British Indian Ocean Territory,2009-06-14
182,Jerry,Tatianas,Tajikistan,1988-07-27
183,Dagmar,Jarib,Bhutan,2007-11-09
184,Gloria,Schenck,Namibia,1967-06-25
185,Barbara,Martguerita,Peru,1999-05-11
186,Benita,Cullin,Ukraine,1979-03-07
187,Tierney,Albertine,El Salvador,1999-08-16
188,Deedee,Smitt,Georgia,2001-01-02
189,Luci,Kathie,New Zealand,1975-09-04
190,Vevay,Sophronia,Papua New Guinea,2001-06-04
191,Kamilah,Noam,Australia,1960-08-31
192,Evaleen,Auberbach,Mauritius,1952-12-28
193,Merle,Estella,Niue,2001-01-13
194,Amii,Federica,French Southern Territories,1986-04-26
195,Christal,Kimmie,Sao Tome and Principe,2007-03-05
196,Jany,Secrest,Congo,1955-03-05
197,Helena,Concha,Swaziland,1981-02-09
198,Marylou,Robertson,Kyrgyzstan,1958-09-10
199,Bernardine,Holtz,Nigeria,1979-09-19
200,Lucille,Robertson,Montserrat,1987-11-24
201,Karlee,Pernick,Nepal,1958-08-18
202,Ingrid,Whiffen,"Palestinian Territory, Occupied",1980-08-17
203,Dulce,Aida,Fiji,1960-03-18
204,Dorothy,Meli,Poland,1973-05-31
205,Brena,Greyson,Indonesia,1976-09-01
206,Winny,Ricarda,Wallis and Futuna,1981-03-02
207,Kial,Lowry,Mongolia,1954-12-29
208,Amara,Posner,Faroe Islands,1993-09-23
209,Nollie,Hoban,Monaco,1998-06-06
210,Nadine,Eliathas,Pakistan,1974-12-23
211,Di,Suzetta,Ecuador,1958-03-14
212,Ingrid,Hanleigh,Martinique,1987-12-29
213,Jessy,Slifka,Armenia,1984-04-16
214,Kellen,Thar,Brazil,1977-03-16
215,Violet,Valerio,Burundi,1987-06-21
216,Carilyn,Grobe,Hong Kong,2003-10-08
217,Eugine,Millda,Japan,1978-01-31
218,Roslyn,Flyn,AndorrA,1975-05-25
219,Joane,Zamora,South Africa,2006-07-19
220,Nariko,Arne,Czech Republic,1951-01-06
221,Oona,Tice,Portugal,1957-01-11
222,Lesly,Rooney,Israel,2001-06-01
223,Clementine,Norrie,Macao,1956-11-17
224,Caritta,Palocz,Paraguay,1977-10-13
225,Almeta,Ortrude,RWANDA,1984-07-06
226,Camile,Telfer,United Kingdom,2002-03-31
227,Juliane,Peg,Faroe Islands,1972-06-05
228,Joelly,Brandice,"Cote D""Ivoire",1950-09-20
229,Mary,Standing,Papua New Guinea,1976-03-26
230,Edyth,Karylin,Philippines,1972-04-07
231,Angela,Sisile,"Tanzania, United Republic of",1968-05-14
232,Meg,Carlson,Comoros,1971-09-09
233,Jere,Ricarda,Uruguay,1975-07-08
234,Sharlene,Whiffen,Kyrgyzstan,1957-09-08
235,Lulita,Verger,Bahamas,1977-12-22
236,Gilligan,Flita,Lebanon,1972-07-28
237,Doralynne,Norrie,Guatemala,1986-03-02
238,Gabi,Vanni,Swaziland,1968-06-03
239,Phedra,Frodi,Indonesia,2007-12-15
240,Chloris,Shama,Argentina,1964-04-23
241,Genevra,Taima,Kuwait,1964-05-18
242,Collen,Corabella,Georgia,1978-07-02
243,Fanny,Alejoa,Samoa,1975-10-23
244,Chickie,Maribeth,Austria,2000-01-04
245,Lolita,Waldron,Pitcairn,1971-04-08
246,Judy,Dahlia,Gibraltar,2009-01-23
247,Lusa,Sinegold,Belgium,1975-08-21
248,Heddie,Secrest,Czech Republic,2006-06-22
249,Sissy,Revkah,"Micronesia, Federated States of",1988-07-01
250,Fina,Bashemeth,Eritrea,1960-09-24
251,Kial,Nerita,Martinique,1985-08-23
252,Philis,Dituri,Germany,1966-06-01
253,Antonietta,Connelly,Sao Tome and Principe,1985-11-21
254,Beth,Maxi,Luxembourg,1990-05-28
255,Brandise,Jotham,"Micronesia, Federated States of",1983-05-06
256,Ann-Marie,Abram,Guam,2005-08-06
257,Tarra,Anselmi,Ukraine,1974-04-29
258,Elie,Lamoree,Jamaica,1964-01-04
259,Benita,Wyn,Albania,2000-11-13
260,Ketti,Riva,Liechtenstein,1970-01-27
261,Nyssa,Danby,Algeria,1972-09-17
262,Ida,Henebry,Kyrgyzstan,1977-09-30
263,Ginnie,Virgin,Antarctica,1993-06-28
264,Michaelina,Jobi,United States,1958-03-05
265,Brena,Letsou,Malaysia,1957-09-02
266,Dominga,Ambrosia,Northern Mariana Islands,2005-07-08
267,Dacia,Lareena,Saint Vincent and the Grenadines,1959-12-21
268,Cordi,Yuille,Jordan,1997-02-04
269,Farrah,Stelle,Benin,1967-02-18
270,Benita,Prouty,Burundi,1996-08-29
271,Jan,Schonfeld,Faroe Islands,1962-02-07
272,Verla,Toffic,Jordan,1972-10-18
273,Lita,Brian,"Iran, Islamic Republic Of",1958-05-16
274,Katharina,Seligman,Libyan Arab Jamahiriya,2007-09-03
275,Rosanne,Yoko,Mozambique,1973-05-11
276,Constance,Breed,American Samoa,2007-09-24
277,Leona,Jacobah,Montserrat,1997-06-12
278,Jsandye,Annice,Suriname,1985-05-22
279,June,Clywd,Cocos (Keeling) Islands,2007-03-26
280,Frank,Rurik,Saudi Arabia,1958-11-25
281,Lorenza,My,Somalia,1956-08-08
282,Benita,Caitlin,Suriname,1957-05-04
283,Jenilee,Reidar,Belgium,2003-12-23
284,Heida,Clara,Lebanon,1983-11-04
285,Kimberley,Verger,"Macedonia, The Former Yugoslav Republic of",1951-03-11
286,Arlena,Marlie,United States,1964-12-10
287,Natka,Ilka,Puerto Rico,1978-01-25
288,Ulrike,Joachim,Turkey,1954-12-18
289,Madeleine,Shirberg,Venezuela,1975-02-11
290,Fina,Bivins,American Samoa,1991-02-21
291,Trixi,Luhe,Angola,1956-01-22
292,Veda,Hurley,Barbados,1957-09-25
293,Sam,Presber,Guyana,1977-06-28
294,Brana,Gordon,Estonia,1964-12-26
295,Dacia,Billye,Russian Federation,2009-11-11
296,Ursulina,Tomasina,Latvia,1999-06-09
297,Lolita,Phyllis,Iceland,1957-03-23
298,Gilda,Letsou,Wallis and Futuna,1950-08-14
299,Felice,Edvard,Luxembourg,2009-08-26
300,Donetta,Roumell,Kazakhstan,1967-12-20
301,Frances,Salvidor,Israel,2000-08-27
302,Lita,Gibbeon,Lesotho,1963-03-30
303,Nessie,Liebermann,Italy,1996-02-16
304,Molli,Casimir,Poland,2000-04-14
305,Adele,Tannie,Saint Helena,1974-06-20
306,Dode,Bergman,Guam,1962-05-31
307,Odessa,Tayib,Bulgaria,2006-02-28
308,Clary,Kare,Hong Kong,1983-06-08
309,Kylynn,Raychel,Suriname,2005-05-01
310,Leona,Beebe,Haiti,1989-10-30
311,Aaren,Katrine,Togo,2004-02-03
312,Cristabel,Atcliffe,Burkina Faso,1982-08-19
313,Barbi,Cynar,Cook Islands,1984-09-11
314,Shaine,Jillane,Burkina Faso,1998-02-14
315,Ronna,Wiener,Nigeria,1993-07-08
316,Nelle,Yuille,Bahrain,1954-10-25
317,Karlee,Jammal,Djibouti,1983-11-24
318,Gilligan,Verger,China,1965-10-27
319,Renae,Craggie,Bosnia and Herzegovina,1997-06-01
320,Kaja,Claudine,Bermuda,1965-06-08
321,Roslyn,Hermes,Lebanon,1971-04-28
322,June,Faso,Croatia,2000-07-09
323,Goldie,Hanshaw,Poland,2002-10-24
324,Orelia,Aida,New Caledonia,1958-12-16
325,Kimberley,Desai,Jamaica,1953-12-02
326,Tani,Jagir,Saint Pierre and Miquelon,2009-01-03
327,Beth,Bouchard,Bulgaria,1997-05-07
328,Catrina,Dowski,Switzerland,1974-07-03
329,Oona,Jerald,Mozambique,1992-01-29
330,Ottilie,Luhe,Kyrgyzstan,1956-01-04
331,Meghann,Henebry,Norfolk Island,1953-11-28
332,Brietta,Eiser,Singapore,1986-04-30
333,Monika,Lorenz,Belarus,1972-09-05
334,Ingrid,Pacorro,France,1991-12-31
335,Linet,Margret,Christmas Island,1976-07-12
336,Drucie,Georas,Cambodia,1956-01-26
337,Philis,Breed,Guam,1954-03-28
338,Sashenka,Bahr,Myanmar,1955-04-17
339,Maurene,Marlie,Guinea-Bissau,2009-11-01
340,Josephine,Alfons,Antarctica,1973-10-24
341,Debee,Syd,Fiji,2000-08-13
342,Dione,Lymann,Uruguay,1962-10-05
343,Tatiania,Huggins,Lithuania,2007-10-25
344,Devina,Remmer,Nicaragua,1977-07-12
345,Charmaine,Fitzsimmons,Saint Kitts and Nevis,1990-07-08
346,Jennica,Charity,Estonia,1969-08-23
347,Cindelyn,Carlson,Western Sahara,1997-10-06
348,Lauryn,Pettiford,Liberia,1988-07-05
349,Peri,Kussell,Philippines,1962-06-10
350,Ana,Mott,"Cote D""Ivoire",1962-11-21
351,Ricky,Nisbet,Paraguay,1972-08-16
352,Joceline,Selway,Oman,1986-08-06
353,Gisela,Standing,Netherlands Antilles,2006-09-01
354,Genovera,Gordon,Yemen,1950-04-17
355,Annecorinne,Lilybelle,Belize,1995-01-15
356,Christal,Juan,Brunei Darussalam,1997-12-10
357,Nita,Amand,Panama,1995-03-24
358,Lita,Kalinda,"Korea, Republic of",2002-12-20
359,Christy,Myrilla,Montserrat,1994-10-07
360,Gusty,Harday,Tonga,1999-10-12
361,Judy,August,Norfolk Island,1988-06-17
362,Shel,Torray,Ireland,1951-12-26
363,Deloria,Rudolph,Holy See (Vatican City State),1961-07-08
364,Bill,Arvo,United States Minor Outlying Islands,1976-04-11
365,Jessamyn,Anestassia,Niue,1991-03-13
366,Gale,Sacken,Israel,1978-07-02
367,Max,Sawtelle,Qatar,1974-04-07
368,Demetris,Minetta,Kazakhstan,1992-10-11
369,Moyna,Thema,Poland,2002-04-24
370,Sybille,Hazlett,"Cote D""Ivoire",2008-08-28
371,Libbie,Peti,Netherlands,1965-02-12
372,Sissy,Toor,Tokelau,1973-12-13
373,Karlee,Thunell,India,1961-11-22
374,Olivette,Elvyn,Botswana,1957-09-09
375,Ada,Malina,Cameroon,1996-07-06
376,Kellen,Prouty,Burundi,2008-12-09
377,Hyacinthe,Terrence,Paraguay,1992-10-06
378,Raquela,Adamsen,Bhutan,1963-06-24
379,Jolyn,Isidore,Montserrat,1992-09-20
380,Selma,Allare,"Korea, Republic of",1996-11-22
381,Phylis,Lacombe,Tokelau,1976-06-08
382,Hermione,Lindemann,French Southern Territories,1986-10-17
383,Shauna,Federica,Central African Republic,1953-05-26
384,Sandie,Mendez,Lebanon,1954-04-15
385,Emelina,Haldas,Philippines,1981-09-26
386,Dede,Eachern,Nepal,1964-11-16
387,Marita,Dex,Germany,1967-07-17
388,Oona,Sherfield,Somalia,1958-01-26
389,Etta,Catie,Philippines,2002-04-05
390,Dolli,Fadiman,Niue,1986-09-08
391,Mariann,Burkle,New Zealand,1950-03-13
392,Lilith,Dalli,Bahrain,1973-12-27
393,Cherrita,Palocz,Solomon Islands,1991-05-06
394,Magdalena,Margarete,Singapore,1984-03-19
395,Angela,Campball,Somalia,2000-10-05
396,Kathi,Bollay,Tokelau,1951-02-13
397,Carmencita,Virgin,Heard Island and Mcdonald Islands,1994-07-16
398,Dennie,Gibbeon,San Marino,1991-09-12
399,Briney,Frendel,Guadeloupe,1989-03-23
400,Anthia,Alejoa,Bhutan,1968-07-06
401,Cindelyn,Jefferey,Singapore,2005-10-25
402,Rosene,Bonucci,Turkmenistan,2002-01-23
403,Rozele,Velick,Falkland Islands (Malvinas),2004-09-17
404,Mariann,Alva,Bahrain,2004-08-24
405,Florencia,Prober,Nepal,1990-03-20
406,Malina,Israeli,Jersey,1968-08-07
407,Teddie,Zeeba,Denmark,1975-05-04
408,Nariko,Hazlett,Samoa,1965-10-02
409,Sue,Idelia,Mongolia,1961-07-24
410,Dolli,Chandler,Gabon,1982-05-14
411,Tatiania,Norrie,Grenada,1969-04-07
412,Juliane,Stav,"Palestinian Territory, Occupied",1995-04-09
413,Suzette,Briney,Algeria,1993-12-12
414,Giustina,Hillel,Myanmar,1988-02-18
415,Linzy,Lamoree,AndorrA,1965-05-23
416,Dale,Heisel,Nigeria,1970-01-01
417,Fernande,Kirbee,Latvia,1953-02-01
418,Adriana,Rudolph,Iraq,1953-04-22
419,Lilith,Remmer,Kenya,1968-08-29
420,Ulrike,Gino,United States,1982-09-03
421,Desirae,Raychel,Belize,1972-03-11
422,Cindelyn,Muriel,Åland Islands,1967-04-05
423,Renie,Greyson,Portugal,1955-09-06
424,Cristine,Jena,Reunion,1963-11-24
425,Aubrie,Chabot,Honduras,1995-04-14
426,Sharlene,Othilia,Western Sahara,1981-01-19
427,Sallie,Byrne,Lithuania,1961-05-27
428,Atlanta,Skurnik,Mayotte,1976-02-24
429,Ileana,Cyrie,Italy,1990-06-24
430,Mariann,Jehu,India,1992-06-12
431,Joy,Corabella,Saint Lucia,2001-03-25
432,Marnia,Gaulin,Cape Verde,1951-05-13
433,Darci,Stav,Togo,1951-02-11
434,Marsiella,Publia,Cambodia,1955-05-27
435,Myrtice,Brodench,Australia,1982-03-15
436,Nyssa,Shaver,South Georgia and the South Sandwich Islands,1987-08-23
437,Wilma,Llovera,Greenland,1998-08-29
438,Ottilie,Atcliffe,France,1951-11-14
439,Gratia,Decato,Bouvet Island,1987-09-29
440,Charmaine,O'Carroll,Bosnia and Herzegovina,1959-03-14
441,Dulce,Valoniah,Åland Islands,2008-09-19
442,Fanny,Yerkovich,Kiribati,1970-06-01
443,Brynna,Horan,"Congo, The Democratic Republic of the",2003-08-11
444,Lonnie,Milde,Guinea-Bissau,1951-07-22
445,Rori,Richers,Colombia,1988-08-18
446,Fanny,Jammal,Guatemala,1971-10-19
447,Elbertina,Gahl,Turks and Caicos Islands,2000-06-12
448,Gusella,Sophronia,Hungary,1962-01-28
449,Marleah,Sinegold,Tokelau,1962-05-04
450,Rebeca,Byrne,Namibia,1965-03-22
451,Rhea,Glovsky,Christmas Island,1975-06-14
452,Elyssa,Etom,Bahamas,1972-08-30
453,Jasmina,Norvol,Nicaragua,1965-08-15
454,Constance,Erb,Afghanistan,1990-11-04
455,Hallie,Camden,Sierra Leone,1999-04-30
456,Shandie,Moseley,Iceland,1978-12-13
457,Benita,Denis,Seychelles,1993-09-13
458,Carly,Marlie,Croatia,1966-10-19
459,Emilia,Hedve,Jersey,1981-01-02
460,Lila,Longfellow,Congo,1980-07-28
461,Ethel,Iiette,Togo,2002-07-24
462,Kaja,Aprile,Paraguay,1998-03-05
463,Ileana,Anselmi,Mongolia,1975-03-25
464,Alyssa,Kaja,United States Minor Outlying Islands,2003-09-18
465,Jinny,Raffo,Poland,1999-02-27
466,Lelah,Alva,Central African Republic,1956-11-11
467,Sheelagh,Vernier,Turkey,1986-03-10
468,Nananne,Kauppi,Serbia and Montenegro,1953-06-30
469,Delilah,Byrne,Tajikistan,1969-05-18
470,Ethel,Obed,Dominica,1990-01-28
471,Adore,Egbert,"Moldova, Republic of",1962-08-03
472,Dotty,McNully,Suriname,1986-05-02
473,Loree,Francyne,Guinea,1952-04-21
474,Merrie,Weide,Guyana,1958-05-30
475,Robinia,Vorster,Ukraine,1993-08-28
476,Larine,Libna,Eritrea,1964-01-13
477,Marita,Wyn,Liberia,1986-02-11
478,Edee,Emmaline,Niger,1970-11-02
479,Cristine,Zenas,Central African Republic,1979-11-09
480,Kial,Jagir,United States Minor Outlying Islands,2009-07-02
481,Ofilia,Pip,Liberia,1955-01-21
482,Joceline,Mauer,Tunisia,2003-11-23
483,Max,Torray,Guinea-Bissau,1973-10-20
484,Vanessa,Charmine,Heard Island and Mcdonald Islands,1976-01-22
485,Binny,Kermit,Belarus,1992-05-14
486,Noelle,Ortrude,Viet Nam,1994-11-07
487,Jasmina,Sperling,Malawi,2001-11-21
488,Marcelline,Keelia,Niue,1996-05-15
489,Winny,Matthew,United States Minor Outlying Islands,1970-01-13
490,Ursulina,Bonilla,Isle of Man,1957-04-10
491,Kate,Niles,"Virgin Islands, British",1999-08-02
492,Fayre,Zina,"Iran, Islamic Republic Of",1975-11-29
493,Ofilia,Friede,French Southern Territories,1955-11-20
494,Elora,Tice,Monaco,1986-06-05
495,Andeee,Merna,Brazil,1988-10-05
496,Lanae,Milson,Ghana,1994-12-20
497,Viki,Jena,Estonia,1957-06-12
498,Kayla,Regan,Latvia,1967-10-12
499,Starla,Guthrie,United States,1996-10-07
500,Jaclyn,Rosette,Wallis and Futuna,1959-09-10
501,Keelia,Rozanna,Tokelau,2000-09-27
502,Alex,Ammann,Sao Tome and Principe,1986-07-17
503,Catharine,Kylander,Brazil,1979-08-15
504,Micheline,Firmin,Slovakia,2002-01-04
505,Dania,Bandeen,Slovakia,2000-01-30
506,Nita,Codding,Turks and Caicos Islands,2007-06-18
507,Robbi,Kare,Zimbabwe,1980-12-17
508,Asia,Garlinda,Japan,1969-02-27
509,Stacey,Grosz,Ecuador,1977-08-19
510,Lacie,Buffum,"Tanzania, United Republic of",2000-02-17
511,Tabbatha,Fairweather,Madagascar,1967-08-18
512,Korrie,Wyn,Papua New Guinea,1965-07-06
513,Cristabel,Stefa,Cape Verde,1993-03-31
514,Brianna,Aloise,Anguilla,1978-06-10
515,Evaleen,Creamer,Zimbabwe,1976-08-02
516,Barbara,Hepsibah,Venezuela,1991-05-10
517,Quintina,Dorcy,United Kingdom,1955-01-19
518,Ann-Marie,Keily,South Africa,1957-10-10
519,Nollie,Fillbert,Cyprus,1959-07-11
520,Ingrid,Amasa,Netherlands,2009-04-15
521,Farrah,Sheedy,Bolivia,1998-06-08
522,Misha,Raychel,Viet Nam,2009-06-15
523,Cherilyn,Kamaria,Burkina Faso,1970-03-10
524,Cassondra,Annabella,Serbia and Montenegro,1961-11-06
525,Camile,Rad,"Virgin Islands, U.S.",1955-06-07
526,Tobe,Iiette,Saint Pierre and Miquelon,1983-12-26
527,Harmonia,Urias,Sierra Leone,1995-11-23
528,Ada,Daveta,Turks and Caicos Islands,1967-10-19
529,Jaime,Telfer,Madagascar,1971-05-20
530,Mariann,Telfer,Greece,1981-09-03
531,Cecile,Zola,Maldives,1986-12-18
532,Janey,Mozelle,Mozambique,1960-03-08
533,Leanna,Kunin,French Southern Territories,1984-11-05
534,Tani,Bertold,Falkland Islands (Malvinas),1997-08-27
535,Asia,Publia,Tokelau,1997-11-27
536,Zaria,Stephie,Sri Lanka,1996-06-11
537,Di,Suanne,"Moldova, Republic of",1956-01-02
538,Pearline,Harl,Peru,1954-10-17
539,Kaja,Ephrem,Sudan,2008-01-26
540,Dania,Rurik,Botswana,1977-03-16
541,Goldie,Uund,Belize,1952-07-08
